,Open time,Open,High,Low,Close,Volume,Closetime,Quote Asset Volume,Number of Traders,Taker Buy Base Asset Volume,Taker Buy Quote Asset Volume,a
201,1590674400000,0.00176550,0.00177140,0.00175500,0.00176940,62698.70000000,1590677999999,110.56306425,3880,28635.77000000,50.49446922,0
202,1590678000000,0.00176990,0.00178800,0.00176900,0.00178310,37487.71000000,1590681599999,66.77908455,3330,19857.08000000,35.38104945,0
203,1590681600000,0.00178220,0.00179620,0.00177800,0.00179450,44234.50000000,1590685199999,79.20829222,3536,21324.62000000,38.19052123,0
204,1590685200000,0.00179500,0.00179510,0.00178500,0.00178540,20622.78000000,1590688799999,36.87116184,1685,8227.60000000,14.71112142,0
205,1590688800000,0.00178670,0.00178960,0.00178500,0.00178780,19748.68000000,1590692399999,35.29220583,2118,10684.90000000,19.09564017,0
206,1590692400000,0.00178800,0.00179300,0.00178620,0.00179240,19277.27000000,1590695999999,34.49952281,1596,9608.76000000,17.20216746,0
207,1590696000000,0.00179230,0.00179800,0.00178940,0.00179000,15390.34000000,1590699599999,27.62119194,1689,8259.76000000,14.82918453,0
208,1590699600000,0.00179020,0.00179650,0.00178930,0.00179050,23980.85000000,1590703199999,43.00391395,1783,11671.34000000,20.93375307,0
209,1590703200000,0.00179040,0.00179220,0.00178000,0.00179090,45082.45000000,1590706799999,80.59427020,2628,16173.38000000,28.91436522,0
210,1590706800000,0.00179090,0.00179470,0.00178100,0.00178260,53104.07000000,1590710399999,94.83894900,3586,28508.47000000,50.91121913,0
211,1590710400000,0.00178260,0.00179360,0.00178220,0.00179100,55965.99000000,1590713999999,100.03438091,3462,30096.59000000,53.79520420,0
212,1590714000000,0.00179080,0.00180500,0.00178830,0.00180500,50479.74000000,1590717599999,90.60134308,3381,30304.68000000,54.41424116,0
213,1590717600000,0.00180470,0.00180600,0.00179340,0.00180070,30210.07000000,1590721199999,54.33201689,2328,13856.29000000,24.92350493,0
214,1590721200000,0.00180190,0.00180220,0.00179520,0.00179580,25920.97000000,1590724799999,46.60961291,1706,10860.18000000,19.53003211,0
215,1590724800000,0.00179560,0.00180000,0.00179380,0.00179810,18075.87000000,1590728399999,32.49717314,1479,9101.87000000,16.36616628,0
216,1590728400000,0.00179810,0.00179960,0.00179270,0.00179320,31369.02000000,1590731999999,56.33468856,1749,8050.67000000,14.46042857,0
217,1590732000000,0.00179310,0.00179490,0.00178730,0.00178990,16911.19000000,1590735599999,30.29649411,1529,5180.77000000,9.28321019,0
218,1590735600000,0.00178980,0.00179970,0.00178910,0.00179250,35962.18000000,1590739199999,64.48245311,1916,11796.67000000,21.16104816,0
219,1590739200000,0.00179250,0.00179360,0.00177830,0.00178190,42964.78000000,1590742799999,76.75864934,3351,16531.68000000,29.53591356,0
220,1590742800000,0.00178110,0.00178490,0.00177670,0.00178370,24468.17000000,1590746399999,43.56312597,2151,12508.00000000,22.27261362,0
221,1590746400000,0.00178350,0.00178850,0.00178080,0.00178300,19967.19000000,1590749999999,35.60742178,2062,9452.97000000,16.86267081,0
222,1590750000000,0.00178290,0.00179080,0.00178080,0.00178980,15929.69000000,1590753599999,28.44086646,1908,8128.43000000,14.51622843,0
223,1590753600000,0.00178910,0.00179070,0.00178170,0.00178940,15153.73000000,1590757199999,27.06471685,1803,7654.51000000,13.67289465,0
224,1590757200000,0.00178980,0.00179170,0.00178380,0.00178790,35244.29000000,1590760799999,63.02808773,2014,12707.62000000,22.73418808,0
225,1590760800000,0.00178790,0.00180390,0.00178280,0.00179700,94425.08000000,1590764399999,169.61071975,4128,54735.79000000,98.30922551,0
226,1590764400000,0.00179690,0.00179770,0.00178810,0.00179060,55553.29000000,1590767999999,99.63533751,2930,21349.17000000,38.28132802,0
227,1590768000000,0.00179020,0.00179450,0.00178860,0.00179190,43293.74000000,1590771599999,77.53433196,2888,14813.27000000,26.52845124,0
228,1590771600000,0.00179170,0.00179930,0.00178970,0.00179500,65504.83000000,1590775199999,117.61363922,2500,21639.35000000,38.84575229,0
229,1590775200000,0.00179500,0.00179900,0.00179080,0.00179810,35738.89000000,1590778799999,64.15056967,2153,19846.27000000,35.63273946,0
230,1590778800000,0.00179790,0.00181490,0.00179680,0.00181390,64213.56000000,1590782399999,115.94931539,3401,41534.35000000,74.99762871,0
231,1590782400000,0.00181420,0.00181650,0.00180800,0.00181460,47444.65000000,1590785999999,86.02522599,2411,18567.07000000,33.67367398,0
232,1590786000000,0.00181450,0.00181620,0.00180000,0.00180490,33755.38000000,1590789599999,61.03771456,2493,13227.18000000,23.93436789,0
233,1590789600000,0.00180440,0.00180680,0.00180040,0.00180340,12751.46000000,1590793199999,22.99669733,1343,6008.45000000,10.83683408,0
234,1590793200000,0.00180310,0.00180540,0.00180200,0.00180350,73978.34000000,1590796799999,133.41058513,1734,42535.33000000,76.71175176,0
235,1590796800000,0.00180340,0.00182590,0.00180310,0.00181670,99339.11000000,1590800399999,180.35956565,5572,56473.70000000,102.52646136,0
236,1590800400000,0.00181680,0.00181730,0.00180950,0.00181010,41696.59000000,1590803999999,75.64271032,2077,26373.74000000,47.85080280,0
237,1590804000000,0.00181050,0.00181410,0.00180770,0.00180870,26349.34000000,1590807599999,47.71629273,1890,13775.31000000,24.95305796,0
238,1590807600000,0.00180960,0.00182470,0.00180730,0.00181450,33698.78000000,1590811199999,61.17157907,2586,15104.90000000,27.41155892,0
239,1590811200000,0.00181460,0.00182080,0.00180270,0.00180770,116042.74000000,1590814799999,210.39330316,5541,43068.52000000,78.10252542,0
240,1590814800000,0.00180750,0.00182800,0.00180710,0.00181360,51860.09000000,1590818399999,94.10781225,4453,25852.89000000,46.91523161,0
241,1590818400000,0.00181360,0.00182900,0.00180690,0.00181930,48738.22000000,1590821999999,88.61017304,3368,25504.87000000,46.36753574,0
242,1590822000000,0.00181980,0.00183000,0.00181410,0.00181490,49199.21000000,1590825599999,89.57784430,2878,19338.52000000,35.23332078,0
243,1590825600000,0.00181500,0.00182200,0.00181410,0.00181710,20296.25000000,1590829199999,36.88312322,1678,11549.86000000,20.98760233,0
244,1590829200000,0.00181740,0.00182140,0.00181470,0.00181650,24083.40000000,1590832799999,43.77016302,1768,11731.74000000,21.32425789,0
245,1590832800000,0.00181650,0.00182420,0.00181600,0.00182200,18127.79000000,1590836399999,32.99556335,1736,10411.93000000,18.95255344,0
246,1590836400000,0.00182240,0.00183150,0.00181930,0.00183050,23896.50000000,1590839999999,43.65506646,1918,14211.93000000,25.96548489,0
247,1590840000000,0.00183050,0.00183980,0.00183020,0.00183290,30008.86000000,1590843599999,55.06571663,2628,17448.68000000,32.01845135,0
248,1590843600000,0.00183320,0.00183410,0.00182520,0.00182610,36195.07000000,1590847199999,66.18691529,2290,13337.13000000,24.39583251,0
249,1590847200000,0.00182610,0.00183180,0.00182500,0.00183030,89736.39000000,1590850799999,164.02568362,2302,24273.75000000,44.38755602,0
250,1590850800000,0.00183020,0.00183140,0.00182070,0.00182250,69139.06000000,1590854399999,126.10356197,3280,25125.74000000,45.84118919,0
251,1590854400000,0.00182250,0.00183110,0.00182100,0.00182990,32791.40000000,1590857999999,59.89256704,2436,17630.69000000,32.20181977,0
252,1590858000000,0.00183000,0.00183400,0.00182800,0.00183360,30664.02000000,1590861599999,56.15167668,2165,18496.37000000,33.87439143,0
253,1590861600000,0.00183360,0.00183580,0.00183250,0.00183550,20861.19000000,1590865199999,38.27408052,1582,10860.81000000,19.92899923,0
254,1590865200000,0.00183550,0.00184500,0.00183550,0.00184500,34534.46000000,1590868799999,63.53049152,2484,23051.52000000,42.40148363,0
255,1590868800000,0.00184490,0.00184570,0.00183300,0.00184240,39206.61000000,1590872399999,72.08973071,2990,16547.31000000,30.43682793,0
256,1590872400000,0.00184250,0.00184990,0.00184150,0.00184590,26027.41000000,1590875999999,48.05756403,2255,16064.67000000,29.66271143,0
257,1590876000000,0.00184640,0.00184820,0.00182300,0.00182630,71897.28000000,1590879599999,131.99900941,5226,32585.58000000,59.83815103,0
258,1590879600000,0.00182620,0.00183280,0.00182020,0.00182790,43886.43000000,1590883199999,80.12896468,3268,22373.04000000,40.85560054,0
259,1590883200000,0.00182830,0.00184920,0.00182540,0.00184430,50169.17000000,1590886799999,92.01742533,3286,31958.76000000,58.61572803,0
260,1590886800000,0.00184290,0.00188000,0.00183970,0.00186800,144486.58000000,1590890399999,268.88297482,8174,86946.39000000,161.83058861,0
261,1590890400000,0.00186810,0.00187030,0.00185550,0.00185550,53057.53000000,1590893999999,98.75170075,2628,21035.15000000,39.15997909,0
262,1590894000000,0.00185550,0.00186420,0.00182530,0.00183310,120148.43000000,1590897599999,221.76569644,7206,49980.07000000,92.27466487,0
263,1590897600000,0.00183320,0.00184080,0.00183210,0.00183870,28697.00000000,1590901199999,52.68126467,1974,14144.84000000,25.96850014,0
264,1590901200000,0.00183900,0.00184990,0.00183410,0.00183750,47952.44000000,1590904799999,88.27063308,3153,20289.53000000,37.35393626,0
265,1590904800000,0.00183740,0.00184610,0.00183400,0.00184610,23809.16000000,1590908399999,43.76802274,1494,9823.46000000,18.07306527,0
266,1590908400000,0.00184620,0.00185600,0.00184160,0.00185600,30406.99000000,1590911999999,56.21720618,2405,17921.69000000,33.14608982,0
267,1590912000000,0.00185520,0.00186000,0.00184810,0.00185750,39537.13000000,1590915599999,73.38699291,2605,21230.59000000,39.40823166,0
268,1590915600000,0.00185670,0.00186320,0.00185500,0.00186040,24993.55000000,1590919199999,46.48546142,1747,11314.36000000,21.04210376,0
269,1590919200000,0.00185970,0.00186870,0.00185970,0.00186690,33325.47000000,1590922799999,62.11955932,2313,18630.48000000,34.73365039,0
270,1590922800000,0.00186690,0.00186970,0.00185500,0.00185950,29644.93000000,1590926399999,55.24769139,2500,12360.69000000,23.04420615,0
271,1590926400000,0.00185820,0.00185840,0.00184610,0.00184810,38498.60000000,1590929999999,71.29177685,2929,16037.19000000,29.70615780,0
272,1590930000000,0.00184810,0.00185650,0.00184510,0.00185000,39045.78000000,1590933599999,72.28082537,2685,17818.01000000,32.98389873,0
273,1590933600000,0.00185030,0.00185070,0.00182800,0.00183010,66764.48000000,1590937199999,122.70307294,4595,26787.30000000,49.24342458,0
274,1590937200000,0.00182970,0.00183620,0.00182530,0.00183000,81556.74000000,1590940799999,149.31676774,3800,37132.03000000,67.99312218,0
